video_id,channel_id,publishedAt,subscriberCount,videoCount,viewCount,timestamp
NuXHriwQB9g,UCCuApJv8qwZqNTG36FMw1qg,2011-06-07T11:44:46.000Z,355,29,1289071,2019-04-08 11:07:42.320885
AKstzozuLKY,UCjzEF5kUZypUftfHD1MKuCg,2014-09-22T01:42:11.000Z,2802723,511,552513937,2019-04-08 11:07:43.542296
Cs2Xr2b7ako,UCzT17-Lvc5L_gIT10JQsjSA,2011-07-23T20:21:52.000Z,2576089,312,180490298,2019-04-08 11:07:44.748719
p5HH2UfZ2wE,UCzSSoloGEz10HALUAbYhngQ,2012-12-30T10:39:27.000Z,154598,3290,150187928,2019-04-08 11:07:45.933025
dZWNPEC6SIw,UC-FQUIVQ-bZiefzBiQAa8Fw,2006-03-08T23:00:41.000Z,5747540,3949,2130538956,2019-04-08 11:07:47.423171
5x-d3pabd5o,UCkiXOKnkDO4qz3njQoz86LA,2012-01-23T18:03:46.000Z,1067501,46,496246737,2019-04-08 11:07:49.013308
P-MQBhBwvgM,UCcd0tBtip8YzdTCUw3OVv_Q,2006-02-25T08:21:33.000Z,1029564,119,18010597,2019-04-08 11:07:50.206631
6wHZT2t78E4,UCJ5v_MCY6GNUBTO8-D3XoAg,2007-05-11T01:20:02.000Z,41669660,40635,31196457293,2019-04-08 11:07:51.523863
NOciiz9WK5Y,UCyFZMEnm1il5Wv3a6tPscbA,2011-10-19T14:35:42.000Z,4997489,1715,997673347,2019-04-08 11:07:52.709202
4MYaA4WEo1Y,UCcyq283he07B7_KUX07mmtA,2009-10-02T12:14:38.000Z,1480858,4556,568206179,2019-04-08 11:07:53.912498
lzEctvL0vrg,UCrfKGpvbEQXcbe68dzXgJuA,2011-05-09T01:44:33.000Z,1169720,1722,340090676,2019-04-08 11:07:55.146912
XKSHDDBAd1w,UCWJ2lWNubArHWmf3FIHbfcQ,2005-11-21T01:20:33.000Z,11102974,30499,5497243646,2019-04-08 11:07:56.341227
90CCjgX0n20,UCuf6cvFcYdpHZ_EjSIcBZlg,2005-10-20T06:37:20.000Z,180765,266,162013647,2019-04-08 11:07:57.575515
oZm_N6aSU0E,,,0,0,0,2019-04-08 11:07:58.727865
Uh4XJjr53vg,UCsZsDjpf2Ppv_cT2K6_q2cw,2007-06-03T18:46:10.000Z,1844018,1568,387930986,2019-04-08 11:08:00.110070
TMfStd3v330,UCCj956IF62FbT7Gouszaj9w,2005-11-12T02:36:31.000Z,6039424,23029,5492100174,2019-04-08 11:08:01.280553
