channel_title,channel_id,publishedAt,subscriberCount,videoCount,viewCount,timestamp
CaseyNeistat,UCtinbF-Q-fVthA0qrFQTgXQ,2010-02-15T22:06:07.000Z,11128909,1004,2542916295,2019-04-07 14:36:46.877346
LastWeekTonight,UC3XTzVzaHQEd30rQbuvCtTQ,2014-03-18T17:41:39.000Z,6907286,266,1926348825,2019-04-07 14:36:47.944558
Rudy Mancuso,,,0,0,0,2019-04-07 14:36:49.006974
Good Mythical Morning,,,0,0,0,2019-04-07 14:36:50.052466
nigahiga,UCSAUGyc_xA8uYzaIVG6MESQ,2006-07-21T01:40:43.000Z,21342904,365,4027599957,2019-04-07 14:36:51.133370
iJustine,UCey_c7U86mJGz1VJWH5CYPA,2006-05-07T06:38:19.000Z,5806231,1762,1012658268,2019-04-07 14:36:52.204184
Saturday Night Live,,,0,0,0,2019-04-07 14:36:53.244524
CrazyRussianHacker,UCe_vXdMrHHseZ_esYUskSBw,2012-05-18T19:29:15.000Z,11048538,1318,2556102372,2019-04-07 14:36:54.331454
20th Century Fox,,,0,0,0,2019-04-07 14:36:55.369122
Vox,UChLyPHlJ83Qt0-Pau1Cf5tQ,2014-01-08T10:24:55.000Z,802,6,11206,2019-04-07 14:36:56.503810
NFL,UCDVYQ4Zhbm3S2dlz7P1GBDg,2014-12-14T02:07:35.000Z,4738480,15821,2841898040,2019-04-07 14:36:57.574809
amc,UCmWyesNAlftV3kJlFhD6q6w,2005-09-21T17:46:17.000Z,721757,3685,300819491,2019-04-07 14:36:58.654496
marshmello,,,0,0,0,2019-04-07 14:36:59.710817
NowThis World,,,0,0,0,2019-04-07 14:37:00.757621
The king of DIY,,,0,0,0,2019-04-07 14:37:01.806037
BostonDynamics,UC7vVhkEfw4nOGp8TyDk7RcQ,2008-07-06T12:28:20.000Z,1228013,36,271793172,2019-04-07 14:37:02.891751
Cracked,UCjD2KyAEm84yVH8cTilID7Q,2006-02-08T22:07:44.000Z,2432156,1717,839903900,2019-04-07 14:37:03.969834
TED-Ed,,,0,0,0,2019-04-07 14:37:05.065284
PeterSripol,,,0,0,0,2019-04-07 14:37:06.125666
SciShow,UCZYTClx2T1of7BRZ86-8fow,2011-10-20T16:11:13.000Z,5661261,1909,1001593308,2019-04-07 14:37:07.192005
Life Noggin,,,0,0,0,2019-04-07 14:37:08.239375
Tested,,,0,0,0,2019-04-07 14:37:09.287135
Tom Scott,,,0,0,0,2019-04-07 14:37:10.349602
Refinery29,,,0,0,0,2019-04-07 14:37:11.393498
Gus Johnson,,,0,0,0,2019-04-07 14:37:12.433210
HellthyJunkFood,UCY1Yc3xA1aY0lqnKUTDTi7A,2013-01-26T16:31:42.000Z,2052593,595,401434146,2019-04-07 14:37:13.503817
Numberphile,UCoxcjq-8xIDTYp3uz647V5A,2011-09-15T12:45:01.000Z,2858998,517,397562012,2019-04-07 14:37:14.570431
JerryRigEverything,UCWFKCr40YwOZQx8FHU_ZqqQ,2012-07-23T07:07:54.000Z,3478143,652,572456983,2019-04-07 14:37:15.643104
Cleveland Cavaliers on cleveland.com,,,0,0,0,2019-04-07 14:37:16.702608
FaeryInLoveInc,UCaHVwUuDYYMYs_3xggHGufQ,2007-06-11T04:12:19.000Z,38,0,0,2019-04-07 14:37:17.816448
hp_overload,,,0,0,0,2019-04-07 14:37:18.866745
Amazon.co.uk,,,0,0,0,2019-04-07 14:37:19.910166
EminemVEVO,UC20vb-R_px4CguHzzBPhoyQ,2009-05-12T05:27:52.000Z,26311589,84,12906490286,2019-04-07 14:37:20.972993
officer401,UCH8HxtIoKOmG4WekL8u0sAA,2006-12-15T15:01:47.000Z,544133,226,51398171,2019-04-07 14:37:22.054448
Emirates,UCJ6jdm9qTla9Lp3Jf-TPwbg,2006-03-02T17:51:46.000Z,476958,645,172016019,2019-04-07 14:37:23.133916
Nobrand,UCA-G_2lSDE1GE2W17DlUXmg,2006-07-19T22:49:01.000Z,0,0,0,2019-04-07 14:37:24.281229
Screen Junkies,,,0,0,0,2019-04-07 14:37:25.319892
Hunter Hayes,,,0,0,0,2019-04-07 14:37:26.361341
Niki and Gabi,,,0,0,0,2019-04-07 14:37:27.405981
Nickelback,,,0,0,0,2019-04-07 14:37:28.468358
U2VEVO,UCpd21W3qWyzIl8-PXvyDA2g,2009-05-12T05:29:46.000Z,1049616,100,1214215751,2019-04-07 14:37:29.533977
BBC News,,,0,0,0,2019-04-07 14:37:30.580778
Ben Rohrbach,,,0,0,0,2019-04-07 14:37:31.627561
MatthewSantoro,UCXhSCMRRPyxSoyLSPFxK7VA,2010-02-13T16:06:08.000Z,6334690,825,1315097690,2019-04-07 14:37:32.690714
Shawn Johnson East,,,0,0,0,2019-04-07 14:37:33.736997
dope2111,UC_GvMVffgctSISDkeWlKhXQ,2009-06-29T06:22:47.000Z,5726941,231,1582602898,2019-04-07 14:37:34.801386
People are Awesome,,,0,0,0,2019-04-07 14:37:35.861978
NBA Highlights · YouTube,,,0,0,0,2019-04-07 14:37:36.908802
D3sports.com,,,0,0,0,2019-04-07 14:37:37.971203
FBE,,,0,0,0,2019-04-07 14:37:39.003977
Simply Nailogical,,,0,0,0,2019-04-07 14:37:40.047451
CBS Sunday Morning,,,0,0,0,2019-04-07 14:37:41.097738
