channel_title,channel_id,publishedAt,subscriberCount,videoCount,viewCount,timestamp
CaseyNeistat,UCtinbF-Q-fVthA0qrFQTgXQ,2010-02-15T22:06:07.000Z,11128706,1004,2542939810,2019-04-07 15:04:37.084647
LastWeekTonight,UC3XTzVzaHQEd30rQbuvCtTQ,2014-03-18T17:41:39.000Z,6907326,266,1926370850,2019-04-07 15:04:38.157202
Rudy Mancuso,,,0,0,0,2019-04-07 15:04:39.206718
Good Mythical Morning,,,0,0,0,2019-04-07 15:04:40.252430
nigahiga,UCSAUGyc_xA8uYzaIVG6MESQ,2006-07-21T01:40:43.000Z,21342603,366,4027622255,2019-04-07 15:04:41.342968
iJustine,UCey_c7U86mJGz1VJWH5CYPA,2006-05-07T06:38:19.000Z,5806278,1762,1012671077,2019-04-07 15:04:42.408555
Saturday Night Live,,,0,0,0,2019-04-07 15:04:43.461029
CrazyRussianHacker,UCe_vXdMrHHseZ_esYUskSBw,2012-05-18T19:29:15.000Z,11048571,1318,2556134714,2019-04-07 15:04:44.539506
20th Century Fox,,,0,0,0,2019-04-07 15:04:45.579956
Vox,UChLyPHlJ83Qt0-Pau1Cf5tQ,2014-01-08T10:24:55.000Z,802,6,11206,2019-04-07 15:04:46.677350
NFL,UCDVYQ4Zhbm3S2dlz7P1GBDg,2014-12-14T02:07:35.000Z,4738514,15821,2841916788,2019-04-07 15:04:47.744736
amc,UCmWyesNAlftV3kJlFhD6q6w,2005-09-21T17:46:17.000Z,721759,3685,300821607,2019-04-07 15:04:48.820237
marshmello,,,0,0,0,2019-04-07 15:04:49.877019
NowThis World,,,0,0,0,2019-04-07 15:04:50.913478
The king of DIY,,,0,0,0,2019-04-07 15:04:51.966232
BostonDynamics,UC7vVhkEfw4nOGp8TyDk7RcQ,2008-07-06T12:28:20.000Z,1228033,36,271798155,2019-04-07 15:04:53.055554
Cracked,UCjD2KyAEm84yVH8cTilID7Q,2006-02-08T22:07:44.000Z,2432190,1717,839908296,2019-04-07 15:04:54.127868
TED-Ed,,,0,0,0,2019-04-07 15:04:55.163892
PeterSripol,,,0,0,0,2019-04-07 15:04:56.217367
SciShow,UCZYTClx2T1of7BRZ86-8fow,2011-10-20T16:11:13.000Z,5661289,1909,1001601740,2019-04-07 15:04:57.306564
Life Noggin,,,0,0,0,2019-04-07 15:04:58.346324
Tested,,,0,0,0,2019-04-07 15:04:59.393736
Tom Scott,,,0,0,0,2019-04-07 15:05:00.631827
Refinery29,,,0,0,0,2019-04-07 15:05:01.679663
Gus Johnson,,,0,0,0,2019-04-07 15:05:02.730233
HellthyJunkFood,UCY1Yc3xA1aY0lqnKUTDTi7A,2013-01-26T16:31:42.000Z,2052599,595,401441875,2019-04-07 15:05:03.798078
Numberphile,UCoxcjq-8xIDTYp3uz647V5A,2011-09-15T12:45:01.000Z,2859040,517,397567146,2019-04-07 15:05:04.862429
JerryRigEverything,UCWFKCr40YwOZQx8FHU_ZqqQ,2012-07-23T07:07:54.000Z,3478206,652,572473667,2019-04-07 15:05:05.953163
Cleveland Cavaliers on cleveland.com,,,0,0,0,2019-04-07 15:05:07.000750
FaeryInLoveInc,UCaHVwUuDYYMYs_3xggHGufQ,2007-06-11T04:12:19.000Z,38,0,0,2019-04-07 15:05:08.097046
hp_overload,,,0,0,0,2019-04-07 15:05:09.136015
Amazon.co.uk,,,0,0,0,2019-04-07 15:05:10.197713
EminemVEVO,UC20vb-R_px4CguHzzBPhoyQ,2009-05-12T05:27:52.000Z,26310151,84,12906641905,2019-04-07 15:05:11.270904
officer401,UCH8HxtIoKOmG4WekL8u0sAA,2006-12-15T15:01:47.000Z,544138,226,51399076,2019-04-07 15:05:12.346284
Emirates,UCJ6jdm9qTla9Lp3Jf-TPwbg,2006-03-02T17:51:46.000Z,476965,645,172018807,2019-04-07 15:05:13.406058
Nobrand,UCA-G_2lSDE1GE2W17DlUXmg,2006-07-19T22:49:01.000Z,0,0,0,2019-04-07 15:05:14.486849
Screen Junkies,,,0,0,0,2019-04-07 15:05:15.531817
Hunter Hayes,,,0,0,0,2019-04-07 15:05:16.564851
Niki and Gabi,,,0,0,0,2019-04-07 15:05:17.601197
Nickelback,,,0,0,0,2019-04-07 15:05:18.753341
U2VEVO,UCpd21W3qWyzIl8-PXvyDA2g,2009-05-12T05:29:46.000Z,1049616,100,1214232822,2019-04-07 15:05:19.824994
BBC News,,,0,0,0,2019-04-07 15:05:20.866562
Ben Rohrbach,,,0,0,0,2019-04-07 15:05:21.898940
MatthewSantoro,UCXhSCMRRPyxSoyLSPFxK7VA,2010-02-13T16:06:08.000Z,6334694,825,1315105415,2019-04-07 15:05:22.980971
Shawn Johnson East,,,0,0,0,2019-04-07 15:05:24.023060
dope2111,UC_GvMVffgctSISDkeWlKhXQ,2009-06-29T06:22:47.000Z,5726980,231,1582616465,2019-04-07 15:05:25.113155
People are Awesome,,,0,0,0,2019-04-07 15:05:26.149590
NBA Highlights · YouTube,,,0,0,0,2019-04-07 15:05:27.202835
D3sports.com,,,0,0,0,2019-04-07 15:05:28.250112
FBE,,,0,0,0,2019-04-07 15:05:29.310966
Simply Nailogical,,,0,0,0,2019-04-07 15:05:35.357382
CBS Sunday Morning,,,0,0,0,2019-04-07 15:05:36.428681
WWE,UC2Oxk5J24C1gYhDWpRDNPlw,2005-08-28T18:30:11.000Z,390800,1547,121716394,2019-04-07 15:05:37.593938
JenniferLopezVEVO,UCx1f1u4XlFFr0YgqF3wB4lQ,2009-09-02T23:35:13.000Z,7296764,100,6168745515,2019-04-07 15:05:38.659284
Grace Helbig,,,0,0,0,2019-04-07 15:05:39.690960
The Graham Norton Show,,,0,0,0,2019-04-07 15:05:40.741576
Kevin Durant,,,0,0,0,2019-04-07 15:05:41.798933
JimBrowski 96HourNews,,,0,0,0,2019-04-07 15:05:42.834484
ViralHog,UC1TVad23aKn9UH8UXKvb29Q,2011-12-09T11:42:14.000Z,148,11,215031,2019-04-07 15:05:43.912534
Jeremy Jahns,,,0,0,0,2019-04-07 15:05:44.945593
Jonathan Morrison,,,0,0,0,2019-04-07 15:05:46.007961
TIME,UC0ZAg1KNrZh8jo47Cj_ah4Q,2005-11-30T15:59:10.000Z,0,0,0,2019-04-07 15:05:47.134067
YouTube Spotlight,,,0,0,0,2019-04-07 15:05:48.175755
GEazyMusicVEVO,UCjjC1Jk_1o1VWpLalgo21XQ,2014-04-25T19:53:03.000Z,3959283,116,2735542728,2019-04-07 15:05:49.249654
U.S. Navy,,,0,0,0,2019-04-07 15:05:50.300466
