video_id,duration,commentCount,dislikeCount,favoriteCount,likeCount,viewCount,timestamp
2kyS6SvSYSE,678,21875,8369,0,102869,2940489,2019-04-06 11:51:46.499557
1ZAPwfrtAFY,1431,24385,15577,0,203636,13982860,2019-04-06 11:51:47.701530
5qpjK5DgCt4,569,14888,11378,0,312883,16884259,2019-04-06 11:51:48.826272
puqaWrEC7tY,430,3610,1643,0,20763,1308124,2019-04-06 11:51:50.173039
d380meD0W0M,733,25691,2919,0,183242,4434960,2019-04-06 11:51:51.469577
gHZ1Qz0KiKM,833,3848,3390,0,33885,1989526,2019-04-06 11:51:52.610836
39idVpFF7NQ,282,3098,3549,0,24790,4054236,2019-04-06 11:51:53.923073
nc99ccSXST0,608,3470,1468,0,38916,2167402,2019-04-06 11:51:55.520506
jr9QtXwC9vc,149,4965,2747,0,94748,18427070,2019-04-06 11:51:57.098152
TUmyygCMMGA,543,4744,3408,0,34236,1449382,2019-04-06 11:51:58.223800
9wRQljFNDW8,76,186,43,0,865,114284,2019-04-06 11:51:59.522002
VifQlJit6A0,109,2354,639,0,2833,303806,2019-04-06 11:52:01.051809
5E4ZBSInqUU,207,41373,25180,0,1078152,89887576,2019-04-06 11:52:02.241798
GgVmn66oK_A,269,7015,2936,0,21789,1917563,2019-04-06 11:52:03.833565
TaTleo4cOs8,743,2677,631,0,14312,983577,2019-04-06 11:52:05.371415
kgaO45SyaO4,25,19209,5803,0,114543,12749055,2019-04-06 11:52:06.787554
ZAQs-ctOqXQ,139,1262,791,0,10363,404903,2019-04-06 11:52:07.974775
YVfyYrEmzgM,274,895,204,0,17686,839801,2019-04-06 11:52:09.194412
eNSN6qet1kE,823,8022,823,0,73592,2319813,2019-04-06 11:52:10.631541
B5HORANmzHw,318,1294,303,0,12347,412257,2019-04-06 11:52:11.789907
vU14JY3x81A,227,18440,560,0,42793,1719780,2019-04-06 11:52:12.992749
6VhU_T463sU,305,313,247,0,6387,573070,2019-04-06 11:52:14.351836
_-aDHxoblr4,267,1262,203,0,20731,461775,2019-04-06 11:52:15.571484
JBZTZZAcFTw,360,1450,1506,0,10737,1085393,2019-04-06 11:52:16.721772
lZ68j2J_GOM,156,785,430,0,36244,878647,2019-04-06 11:52:17.837011
dRpNZV18N_g,509,2098,439,0,17406,1098793,2019-04-06 11:52:19.102372
fcVjitaM3LY,520,694,160,0,9499,396235,2019-04-06 11:52:20.212739
