channel_title,channel_id,publishedAt,subscriberCount,videoCount,viewCount,timestamp
CaseyNeistat,UCtinbF-Q-fVthA0qrFQTgXQ,2010-02-15T22:06:07.000Z,11128951,1004,2542963999,2019-04-07 16:23:36.632035
LastWeekTonight,UC3XTzVzaHQEd30rQbuvCtTQ,2014-03-18T17:41:39.000Z,6907459,266,1926394160,2019-04-07 16:23:37.713538
Rudy Mancuso,,,0,0,0,2019-04-07 16:23:38.756088
Good Mythical Morning,,,0,0,0,2019-04-07 16:23:39.795678
nigahiga,UCSAUGyc_xA8uYzaIVG6MESQ,2006-07-21T01:40:43.000Z,21341908,366,4027645123,2019-04-07 16:23:40.874195
iJustine,UCey_c7U86mJGz1VJWH5CYPA,2006-05-07T06:38:19.000Z,5806381,1762,1012685470,2019-04-07 16:23:41.934585
Saturday Night Live,,,0,0,0,2019-04-07 16:23:42.979075
CrazyRussianHacker,UCe_vXdMrHHseZ_esYUskSBw,2012-05-18T19:29:15.000Z,11048648,1318,2556164014,2019-04-07 16:23:44.045531
20th Century Fox,,,0,0,0,2019-04-07 16:23:45.088868
Vox,UChLyPHlJ83Qt0-Pau1Cf5tQ,2014-01-08T10:24:55.000Z,802,6,11207,2019-04-07 16:23:46.191179
NFL,UCDVYQ4Zhbm3S2dlz7P1GBDg,2014-12-14T02:07:35.000Z,4738592,15821,2841939211,2019-04-07 16:23:47.282166
amc,UCmWyesNAlftV3kJlFhD6q6w,2005-09-21T17:46:17.000Z,721783,3685,300824174,2019-04-07 16:23:48.348568
marshmello,,,0,0,0,2019-04-07 16:23:49.394131
NowThis World,,,0,0,0,2019-04-07 16:23:50.447554
The king of DIY,,,0,0,0,2019-04-07 16:23:51.491152
BostonDynamics,UC7vVhkEfw4nOGp8TyDk7RcQ,2008-07-06T12:28:20.000Z,1228103,36,271803176,2019-04-07 16:23:52.569542
Cracked,UCjD2KyAEm84yVH8cTilID7Q,2006-02-08T22:07:44.000Z,2432264,1717,839912735,2019-04-07 16:23:53.648322
TED-Ed,,,0,0,0,2019-04-07 16:23:54.700190
PeterSripol,,,0,0,0,2019-04-07 16:23:55.768164
SciShow,UCZYTClx2T1of7BRZ86-8fow,2011-10-20T16:11:13.000Z,5661365,1909,1001610697,2019-04-07 16:23:56.850133
Life Noggin,,,0,0,0,2019-04-07 16:23:57.897547
Tested,,,0,0,0,2019-04-07 16:23:58.952787
Tom Scott,,,0,0,0,2019-04-07 16:24:00.060019
Refinery29,,,0,0,0,2019-04-07 16:24:01.110085
Gus Johnson,,,0,0,0,2019-04-07 16:24:02.149755
HellthyJunkFood,UCY1Yc3xA1aY0lqnKUTDTi7A,2013-01-26T16:31:42.000Z,2052605,595,401449794,2019-04-07 16:24:03.223127
Numberphile,UCoxcjq-8xIDTYp3uz647V5A,2011-09-15T12:45:01.000Z,2859117,517,397572240,2019-04-07 16:24:04.307305
JerryRigEverything,UCWFKCr40YwOZQx8FHU_ZqqQ,2012-07-23T07:07:54.000Z,3478338,652,572490050,2019-04-07 16:24:05.379823
Cleveland Cavaliers on cleveland.com,,,0,0,0,2019-04-07 16:24:06.420737
FaeryInLoveInc,UCaHVwUuDYYMYs_3xggHGufQ,2007-06-11T04:12:19.000Z,38,0,0,2019-04-07 16:24:07.541101
hp_overload,,,0,0,0,2019-04-07 16:24:08.584275
Amazon.co.uk,,,0,0,0,2019-04-07 16:24:09.623762
EminemVEVO,UC20vb-R_px4CguHzzBPhoyQ,2009-05-12T05:27:52.000Z,26310143,84,12906806559,2019-04-07 16:24:10.689162
officer401,UCH8HxtIoKOmG4WekL8u0sAA,2006-12-15T15:01:47.000Z,544153,226,51400026,2019-04-07 16:24:11.767543
Emirates,UCJ6jdm9qTla9Lp3Jf-TPwbg,2006-03-02T17:51:46.000Z,476986,645,172021596,2019-04-07 16:24:12.850011
Nobrand,UCA-G_2lSDE1GE2W17DlUXmg,2006-07-19T22:49:01.000Z,0,0,0,2019-04-07 16:24:13.995416
Screen Junkies,,,0,0,0,2019-04-07 16:24:15.038824
Hunter Hayes,,,0,0,0,2019-04-07 16:24:16.080215
Niki and Gabi,,,0,0,0,2019-04-07 16:24:17.123614
Nickelback,,,0,0,0,2019-04-07 16:24:18.172050
U2VEVO,UCpd21W3qWyzIl8-PXvyDA2g,2009-05-12T05:29:46.000Z,1049616,100,1214253517,2019-04-07 16:24:19.250451
BBC News,,,0,0,0,2019-04-07 16:24:20.291731
Ben Rohrbach,,,0,0,0,2019-04-07 16:24:21.352125
MatthewSantoro,UCXhSCMRRPyxSoyLSPFxK7VA,2010-02-13T16:06:08.000Z,6334682,825,1315113889,2019-04-07 16:24:22.430855
Shawn Johnson East,,,0,0,0,2019-04-07 16:24:23.501309
dope2111,UC_GvMVffgctSISDkeWlKhXQ,2009-06-29T06:22:47.000Z,5727084,231,1582630618,2019-04-07 16:24:24.581727
People are Awesome,,,0,0,0,2019-04-07 16:24:25.622489
NBA Highlights · YouTube,,,0,0,0,2019-04-07 16:24:26.760511
D3sports.com,,,0,0,0,2019-04-07 16:24:27.799809
FBE,,,0,0,0,2019-04-07 16:24:28.853639
